"","msa_id","fipsstatecode","year","state_abb","ever_smoke","current_smoker","stop_smoking","N","metrodivisioncode","csacode","cbsatitle","metropolitanmicropolitanstatis","metropolitandivisiontitle","csatitle","countycountyequivalent","statename","fipscountycode","centraloutlyingcounty","abb","year_change_per","tax_change_dose","numtaxinc","tax_change0203","year_around","treat","tax_change","X.x","pop1990","pop2000","unemp1990","unemp2000","unemp2010","cig_sales_pc2000","anti1992","anti1995","anti1998","cig_sales_pc1990","cig_sales_pc2010","log_cigsales90","log_cigsales00","log_cigsales10","log_pop90","log_pop00","change90to00","change00to10","log_change_sales","log_change_sales00to10","per_barban00","per_barban05","per_barban10","msa_pop10","msa_pop00","log_msapop00","log_msapop10","cigtax","cbsaunp00","wage_index","X","factor98","current_smoker98","ever_smoke98","factor01","current_smoker01","ever_smoke01","change_cursmk","change_evrsmk","pcurrent_smoker98","pcurrent_smoker01","pfactor98","pfactor01"
"687",45820,20,2008,"KS",0.466101694915254,23.728813559322,0.507142857142857,590,NA,NA,"Topeka, KS","Metropolitan Statistical Area","","","Jackson County","Kansas",85,"Outlying",NA,0,NA,NA,0,0,0,0,17,2477588,2688418,4.3,3.6,7.1,79.8,-0.1204,-0.05,0.1152,94.3,45.2,4.54648118963941,4.37952350445576,3.81109708683819,14.7227960642326,14.8044634744878,14.5,34.6,2.67414864942653,3.54385368206368,71.3112067809739,66.2452480855399,66.6459132583393,233870,224551,12.3218581318571,12.3625206844061,0.79,2.9126213592233,0.8896,178,-0.0912807322281225,0.241379310344828,0.379310344827586,-0.014111973562278,0.245901639344262,0.508196721311475,-0.00452232899943469,-0.128886376483889,0.217243069935302,0.188427588967838,-0.0665132036939996,0.0782614747954613
"688",45820,20,2005,"KS",0.466227347611203,18.6161449752883,0.433628318584071,607,NA,NA,"Topeka, KS","Metropolitan Statistical Area","","","Jackson County","Kansas",85,"Outlying",NA,0,NA,NA,0,0,0,0,17,2477588,2688418,4.3,3.6,7.1,79.8,-0.1204,-0.05,0.1152,94.3,45.2,4.54648118963941,4.37952350445576,3.81109708683819,14.7227960642326,14.8044634744878,14.5,34.6,2.67414864942653,3.54385368206368,5.61599060515326,5.21702980047869,5.12143182261525,233870,224551,12.3218581318571,12.3625206844061,0.79,2.9126213592233,0.8896,178,-0.0912807322281225,0.241379310344828,0.379310344827586,-0.014111973562278,0.245901639344262,0.508196721311475,-0.00452232899943469,-0.128886376483889,0.217243069935302,0.188427588967838,-0.0665132036939996,0.0782614747954613
"689",45820,20,2010,"KS",0.447037701974865,19.3895870736086,0.574074074074074,557,NA,NA,"Topeka, KS","Metropolitan Statistical Area","","","Jackson County","Kansas",85,"Outlying",NA,0,NA,NA,0,0,0,0,17,2477588,2688418,4.3,3.6,7.1,79.8,-0.1204,-0.05,0.1152,94.3,45.2,4.54648118963941,4.37952350445576,3.81109708683819,14.7227960642326,14.8044634744878,14.5,34.6,2.67414864942653,3.54385368206368,95.0071876536221,88.2578629661172,88.1899018141622,233870,224551,12.3218581318571,12.3625206844061,0.79,2.9126213592233,0.8896,178,-0.0912807322281225,0.241379310344828,0.379310344827586,-0.014111973562278,0.245901639344262,0.508196721311475,-0.00452232899943469,-0.128886376483889,0.217243069935302,0.188427588967838,-0.0665132036939996,0.0782614747954613
"690",45820,20,2004,"KS",0.468652037617555,26.1755485893417,0.44311377245509,638,NA,NA,"Topeka, KS","Metropolitan Statistical Area","","","Jackson County","Kansas",85,"Outlying",NA,0,NA,NA,0,0,0,0,17,2477588,2688418,4.3,3.6,7.1,79.8,-0.1204,-0.05,0.1152,94.3,45.2,4.54648118963941,4.37952350445576,3.81109708683819,14.7227960642326,14.8044634744878,14.5,34.6,2.67414864942653,3.54385368206368,5.21874549995779,4.84800504641351,4.74906257450636,233870,224551,12.3218581318571,12.3625206844061,0.79,2.9126213592233,0.8896,178,-0.0912807322281225,0.241379310344828,0.379310344827586,-0.014111973562278,0.245901639344262,0.508196721311475,-0.00452232899943469,-0.128886376483889,0.217243069935302,0.188427588967838,-0.0665132036939996,0.0782614747954613
"691",45820,20,2007,"KS",0.467600700525394,22.2416812609457,0.47244094488189,571,NA,NA,"Topeka, KS","Metropolitan Statistical Area","","","Jackson County","Kansas",85,"Outlying",NA,0,NA,NA,0,0,0,0,17,2477588,2688418,4.3,3.6,7.1,79.8,-0.1204,-0.05,0.1152,94.3,45.2,4.54648118963941,4.37952350445576,3.81109708683819,14.7227960642326,14.8044634744878,14.5,34.6,2.67414864942653,3.54385368206368,54.3647926628829,50.5027097372371,51.1372109153174,233870,224551,12.3218581318571,12.3625206844061,0.79,2.9126213592233,0.8896,178,-0.0912807322281225,0.241379310344828,0.379310344827586,-0.014111973562278,0.245901639344262,0.508196721311475,-0.00452232899943469,-0.128886376483889,0.217243069935302,0.188427588967838,-0.0665132036939996,0.0782614747954613
"692",45820,20,2009,"KS",0.463470319634703,20.3196347031963,0.554307116104869,1314,NA,NA,"Topeka, KS","Metropolitan Statistical Area","","","Jackson County","Kansas",85,"Outlying",NA,0,NA,NA,0,0,0,0,17,2477588,2688418,4.3,3.6,7.1,79.8,-0.1204,-0.05,0.1152,94.3,45.2,4.54648118963941,4.37952350445576,3.81109708683819,14.7227960642326,14.8044634744878,14.5,34.6,2.67414864942653,3.54385368206368,91.1874276889769,84.7094593153092,84.7941456965126,233870,224551,12.3218581318571,12.3625206844061,0.79,2.9126213592233,0.8896,178,-0.0912807322281225,0.241379310344828,0.379310344827586,-0.014111973562278,0.245901639344262,0.508196721311475,-0.00452232899943469,-0.128886376483889,0.217243069935302,0.188427588967838,-0.0665132036939996,0.0782614747954613
"693",45820,20,2006,"KS",0.503717472118959,28.0669144981413,0.536423841059603,538,NA,NA,"Topeka, KS","Metropolitan Statistical Area","","","Jackson County","Kansas",85,"Outlying",NA,0,NA,NA,0,0,0,0,17,2477588,2688418,4.3,3.6,7.1,79.8,-0.1204,-0.05,0.1152,94.3,45.2,4.54648118963941,4.37952350445576,3.81109708683819,14.7227960642326,14.8044634744878,14.5,34.6,2.67414864942653,3.54385368206368,22.9434496764935,21.313543612095,21.5467520645035,233870,224551,12.3218581318571,12.3625206844061,0.79,2.9126213592233,0.8896,178,-0.0912807322281225,0.241379310344828,0.379310344827586,-0.014111973562278,0.245901639344262,0.508196721311475,-0.00452232899943469,-0.128886376483889,0.217243069935302,0.188427588967838,-0.0665132036939996,0.0782614747954613
"694",46060,4,2010,"AZ",0.429708222811671,16.9761273209549,0.578125,377,NA,536,"Tucson, AZ","Metropolitan Statistical Area","","Tucson-Nogales, AZ","Pima County","Arizona",19,"Central","AZ",2006,0.82,1,1,4,1,1,3,3665339,5130632,5.3,4,10.4,58.5,-0.0174,0.1171,0.2088,88.9,24.8,4.48751214251986,4.06902675423781,3.21084365317094,15.1144313856147,15.4507394064399,30.4,33.7,3.41444260841218,3.51749783735832,90.8075786756476,76.3478800497815,75.8810047014367,980263,843746,13.6456067804169,13.7955761819896,2,3.19148936170213,0.8945,180,-0.133055532096432,0.259803921568627,0.524509803921569,0.272784901569095,0.270491803278689,0.549180327868853,-0.0106878817100611,-0.0246705239472839,0.20599693837842,0.174985204453317,-0.00316059230315682,0.160311669312057
"695",46060,4,2007,"AZ",0.456,19.6,0.602040816326531,500,NA,536,"Tucson, AZ","Metropolitan Statistical Area","","Tucson-Nogales, AZ","Pima County","Arizona",19,"Central","AZ",2006,0.82,1,1,1,1,1,3,3665339,5130632,5.3,4,10.4,58.5,-0.0174,0.1171,0.2088,88.9,24.8,4.48751214251986,4.06902675423781,3.21084365317094,15.1144313856147,15.4507394064399,30.4,33.7,3.41444260841218,3.51749783735832,89.8470349792786,75.5402880405848,74.9422423245196,980263,843746,13.6456067804169,13.7955761819896,2,3.19148936170213,0.8945,180,-0.133055532096432,0.259803921568627,0.524509803921569,0.272784901569095,0.270491803278689,0.549180327868853,-0.0106878817100611,-0.0246705239472839,0.20599693837842,0.174985204453317,-0.00316059230315682,0.160311669312057
"696",46060,4,2008,"AZ",0.446028513238289,18.3299389002037,0.555555555555556,491,NA,536,"Tucson, AZ","Metropolitan Statistical Area","","Tucson-Nogales, AZ","Pima County","Arizona",19,"Central","AZ",2006,0.82,1,1,2,1,1,3,3665339,5130632,5.3,4,10.4,58.5,-0.0174,0.1171,0.2088,88.9,24.8,4.48751214251986,4.06902675423781,3.21084365317094,15.1144313856147,15.4507394064399,30.4,33.7,3.41444260841218,3.51749783735832,90.8075786756476,76.3478800497815,75.8810047014367,980263,843746,13.6456067804169,13.7955761819896,2,3.19148936170213,0.8945,180,-0.133055532096432,0.259803921568627,0.524509803921569,0.272784901569095,0.270491803278689,0.549180327868853,-0.0106878817100611,-0.0246705239472839,0.20599693837842,0.174985204453317,-0.00316059230315682,0.160311669312057
"697",46060,4,2009,"AZ",0.444168734491315,18.1141439205955,0.589041095890411,403,NA,536,"Tucson, AZ","Metropolitan Statistical Area","","Tucson-Nogales, AZ","Pima County","Arizona",19,"Central","AZ",2006,0.82,1,1,3,1,1,3,3665339,5130632,5.3,4,10.4,58.5,-0.0174,0.1171,0.2088,88.9,24.8,4.48751214251986,4.06902675423781,3.21084365317094,15.1144313856147,15.4507394064399,30.4,33.7,3.41444260841218,3.51749783735832,90.8075786756476,76.3478800497815,75.8810047014367,980263,843746,13.6456067804169,13.7955761819896,2,3.19148936170213,0.8945,180,-0.133055532096432,0.259803921568627,0.524509803921569,0.272784901569095,0.270491803278689,0.549180327868853,-0.0106878817100611,-0.0246705239472839,0.20599693837842,0.174985204453317,-0.00316059230315682,0.160311669312057
